,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2,Bet
329,Under,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,PointsBet (US),2022-01-08T00:00:00Z,1.91,135.0,1.87,135.5,True
330,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,SugarHouse,2022-01-08T00:00:00Z,1.85,135.5,1.91,135.0,True
331,Under,1.89,157.5,Pennsylvania Quakers,Cornell Big Red,SugarHouse,2022-01-08T00:00:00Z,1.96,135.5,1.91,135.0,True
332,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,TwinSpires,2022-01-08T00:00:00Z,1.91,135.5,1.85,135.5,True
333,Under,1.89,157.5,Pennsylvania Quakers,Cornell Big Red,TwinSpires,2022-01-08T00:00:00Z,1.91,135.5,1.96,135.5,True
334,Over,1.88,157.5,Pennsylvania Quakers,Cornell Big Red,Unibet,2022-01-08T00:00:00Z,1.89,135.0,1.91,135.5,True
335,Under,1.87,157.5,Pennsylvania Quakers,Cornell Big Red,Unibet,2022-01-08T00:00:00Z,1.93,135.0,1.91,135.5,True
336,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,William Hill (US),2022-01-08T00:00:00Z,1.89,135.0,1.89,135.0,True
337,Under,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,William Hill (US),2022-01-08T00:00:00Z,1.93,135.0,1.93,135.0,True
338,Over,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,WynnBET,2022-01-08T00:00:00Z,1.86,135.0,1.89,135.0,True
339,Under,1.91,157.5,Pennsylvania Quakers,Cornell Big Red,WynnBET,2022-01-08T00:00:00Z,1.89,135.0,1.93,135.0,True
340,Over,1.91,147.5,Princeton Tigers,Columbia Lions,Barstool Sportsbook,2022-01-08T00:00:00Z,1.91,135.5,1.86,135.0,True
341,Under,1.91,147.5,Princeton Tigers,Columbia Lions,Barstool Sportsbook,2022-01-08T00:00:00Z,1.91,135.5,1.89,135.0,True
342,Over,1.91,147.5,Princeton Tigers,Columbia Lions,BetRivers,2022-01-08T00:00:00Z,1.91,135.5,1.91,135.5,True
343,Under,1.91,147.5,Princeton Tigers,Columbia Lions,BetRivers,2022-01-08T00:00:00Z,1.91,135.5,1.91,135.5,True
344,Over,1.87,148.0,Princeton Tigers,Columbia Lions,BetUS,2022-01-08T00:00:00Z,1.92,155.5,1.91,135.5,True
345,Under,1.95,148.0,Princeton Tigers,Columbia Lions,BetUS,2022-01-08T00:00:00Z,1.89,155.5,1.91,135.5,True
346,Over,1.91,147.5,Princeton Tigers,Columbia Lions,Bovada,2022-01-08T00:00:00Z,1.91,155.5,1.92,155.5,True
347,Under,1.91,147.5,Princeton Tigers,Columbia Lions,Bovada,2022-01-08T00:00:00Z,1.91,155.5,1.89,155.5,True
348,Over,1.91,146.5,Princeton Tigers,Columbia Lions,FOX Bet,2022-01-08T00:00:00Z,1.92,155.5,1.91,155.5,True
349,Under,1.91,146.5,Princeton Tigers,Columbia Lions,FOX Bet,2022-01-08T00:00:00Z,1.89,155.5,1.91,155.5,True
350,Over,1.92,147.5,Princeton Tigers,Columbia Lions,GTbets,2022-01-08T00:00:00Z,1.91,155.0,1.92,155.5,True
351,Under,1.92,147.5,Princeton Tigers,Columbia Lions,GTbets,2022-01-08T00:00:00Z,1.91,155.0,1.89,155.5,True
