,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2
114,Over,1.92,215.5,Houston Rockets,Dallas Mavericks,GTbets,2022-01-08T01:10:00Z,1.92,215.0,1.92,214.0
115,Under,1.92,215.5,Houston Rockets,Dallas Mavericks,GTbets,2022-01-08T01:10:00Z,1.92,215.0,1.92,214.0
116,Over,1.91,216.5,Houston Rockets,Dallas Mavericks,MyBookie.ag,2022-01-08T01:10:00Z,1.91,216.5,1.91,214.5
117,Under,1.91,216.5,Houston Rockets,Dallas Mavericks,MyBookie.ag,2022-01-08T01:10:00Z,1.91,216.5,1.91,214.5
118,Over,1.89,216.5,Houston Rockets,Dallas Mavericks,SugarHouse,2022-01-08T01:10:00Z,1.89,215.5,1.89,214.0
119,Under,1.92,216.5,Houston Rockets,Dallas Mavericks,SugarHouse,2022-01-08T01:10:00Z,1.92,215.5,1.92,214.0
120,Over,1.89,216.5,Houston Rockets,Dallas Mavericks,TwinSpires,2022-01-08T01:10:00Z,1.89,215.5,1.89,214.0
121,Under,1.92,216.5,Houston Rockets,Dallas Mavericks,TwinSpires,2022-01-08T01:10:00Z,1.92,215.5,1.92,214.0
122,Over,1.9,216.5,Houston Rockets,Dallas Mavericks,Unibet,2022-01-08T01:10:00Z,1.9,215.5,1.9,214.0
123,Under,1.92,216.5,Houston Rockets,Dallas Mavericks,Unibet,2022-01-08T01:10:00Z,1.92,215.5,1.92,214.0
124,Over,1.91,215.5,Houston Rockets,Dallas Mavericks,William Hill (US),2022-01-08T01:10:00Z,1.91,215.0,1.91,214.5
125,Under,1.91,215.5,Houston Rockets,Dallas Mavericks,William Hill (US),2022-01-08T01:10:00Z,1.91,215.0,1.91,214.5
126,Over,1.91,216.0,Houston Rockets,Dallas Mavericks,WynnBET,2022-01-08T01:10:00Z,1.91,216.0,1.91,214.0
127,Under,1.91,216.0,Houston Rockets,Dallas Mavericks,WynnBET,2022-01-08T01:10:00Z,1.91,216.0,1.91,214.0
128,Over,1.89,227.0,Los Angeles Lakers,Atlanta Hawks,Barstool Sportsbook,2022-01-08T03:10:00Z,1.89,227.5,1.89,228.5
129,Under,1.92,227.0,Los Angeles Lakers,Atlanta Hawks,Barstool Sportsbook,2022-01-08T03:10:00Z,1.92,227.5,1.92,228.5
130,Over,1.91,225.5,Los Angeles Lakers,Atlanta Hawks,BetMGM,2022-01-08T03:10:00Z,1.87,227.5,1.91,228.5
131,Under,1.91,225.5,Los Angeles Lakers,Atlanta Hawks,BetMGM,2022-01-08T03:10:00Z,1.95,227.5,1.91,228.5
132,Over,1.9,227.0,Los Angeles Lakers,Atlanta Hawks,BetOnline.ag,2022-01-08T03:10:00Z,1.9,228.5,1.9,229.0
133,Under,1.9,227.0,Los Angeles Lakers,Atlanta Hawks,BetOnline.ag,2022-01-08T03:10:00Z,1.9,228.5,1.9,229.0
134,Over,1.89,227.0,Los Angeles Lakers,Atlanta Hawks,BetRivers,2022-01-08T03:10:00Z,1.89,227.5,1.89,228.5
135,Under,1.92,227.0,Los Angeles Lakers,Atlanta Hawks,BetRivers,2022-01-08T03:10:00Z,1.92,227.5,1.92,228.5
136,Over,1.91,227.0,Los Angeles Lakers,Atlanta Hawks,BetUS,2022-01-08T03:10:00Z,1.91,228.0,1.91,229.0
137,Under,1.91,227.0,Los Angeles Lakers,Atlanta Hawks,BetUS,2022-01-08T03:10:00Z,1.91,228.0,1.91,229.0
138,Over,1.91,227.0,Los Angeles Lakers,Atlanta Hawks,Bovada,2022-01-08T03:10:00Z,1.91,228.0,1.91,229.0
139,Under,1.91,227.0,Los Angeles Lakers,Atlanta Hawks,Bovada,2022-01-08T03:10:00Z,1.91,228.0,1.91,229.0
140,Over,1.91,227.0,Los Angeles Lakers,Atlanta Hawks,DraftKings,2022-01-08T03:10:00Z,1.91,228.0,1.91,229.0
141,Under,1.91,227.0,Los Angeles Lakers,Atlanta Hawks,DraftKings,2022-01-08T03:10:00Z,1.91,228.0,1.91,229.0
142,Over,1.91,226.5,Los Angeles Lakers,Atlanta Hawks,FOX Bet,2022-01-08T03:10:00Z,1.91,227.5,1.91,229.0
143,Under,1.91,226.5,Los Angeles Lakers,Atlanta Hawks,FOX Bet,2022-01-08T03:10:00Z,1.91,227.5,1.91,229.0
144,Over,1.89,227.0,Los Angeles Lakers,Atlanta Hawks,FanDuel,2022-01-08T03:10:00Z,1.91,228.0,1.89,228.5
145,Under,1.93,227.0,Los Angeles Lakers,Atlanta Hawks,FanDuel,2022-01-08T03:10:00Z,1.91,228.0,1.93,228.5
146,Over,1.92,227.0,Los Angeles Lakers,Atlanta Hawks,GTbets,2022-01-08T03:10:00Z,1.92,228.0,1.92,229.0
147,Under,1.92,227.0,Los Angeles Lakers,Atlanta Hawks,GTbets,2022-01-08T03:10:00Z,1.92,228.0,1.92,229.0
148,Over,1.91,227.0,Los Angeles Lakers,Atlanta Hawks,MyBookie.ag,2022-01-08T03:10:00Z,1.91,227.0,1.91,228.0
149,Under,1.91,227.0,Los Angeles Lakers,Atlanta Hawks,MyBookie.ag,2022-01-08T03:10:00Z,1.91,227.0,1.91,228.0
150,Over,1.89,227.0,Los Angeles Lakers,Atlanta Hawks,SugarHouse,2022-01-08T03:10:00Z,1.89,227.5,1.89,228.5
151,Under,1.92,227.0,Los Angeles Lakers,Atlanta Hawks,SugarHouse,2022-01-08T03:10:00Z,1.92,227.5,1.92,228.5
152,Over,1.89,227.0,Los Angeles Lakers,Atlanta Hawks,TwinSpires,2022-01-08T03:10:00Z,1.89,227.5,1.89,228.5
153,Under,1.92,227.0,Los Angeles Lakers,Atlanta Hawks,TwinSpires,2022-01-08T03:10:00Z,1.92,227.5,1.92,228.5
154,Over,1.9,227.0,Los Angeles Lakers,Atlanta Hawks,Unibet,2022-01-08T03:10:00Z,1.9,227.5,1.9,228.5
155,Under,1.92,227.0,Los Angeles Lakers,Atlanta Hawks,Unibet,2022-01-08T03:10:00Z,1.92,227.5,1.92,228.5
156,Over,1.91,227.0,Los Angeles Lakers,Atlanta Hawks,William Hill (US),2022-01-08T03:10:00Z,1.91,228.0,1.91,230.0
157,Under,1.91,227.0,Los Angeles Lakers,Atlanta Hawks,William Hill (US),2022-01-08T03:10:00Z,1.91,228.0,1.91,230.0
158,Over,1.91,226.5,Los Angeles Lakers,Atlanta Hawks,WynnBET,2022-01-08T03:10:00Z,1.91,227.5,1.91,229.0
159,Under,1.91,226.5,Los Angeles Lakers,Atlanta Hawks,WynnBET,2022-01-08T03:10:00Z,1.91,227.5,1.91,229.0
160,Over,1.88,215.0,Oklahoma City Thunder,Minnesota Timberwolves,Barstool Sportsbook,2022-01-08T01:10:00Z,1.88,216.5,1.88,218.0
161,Under,1.93,215.0,Oklahoma City Thunder,Minnesota Timberwolves,Barstool Sportsbook,2022-01-08T01:10:00Z,1.93,216.5,1.93,218.0
162,Over,1.91,214.5,Oklahoma City Thunder,Minnesota Timberwolves,BetMGM,2022-01-08T01:10:00Z,1.91,216.5,1.91,218.5
163,Under,1.91,214.5,Oklahoma City Thunder,Minnesota Timberwolves,BetMGM,2022-01-08T01:10:00Z,1.91,216.5,1.91,218.5
164,Over,1.9,215.5,Oklahoma City Thunder,Minnesota Timberwolves,BetOnline.ag,2022-01-08T01:10:00Z,1.9,216.5,1.9,218.0
165,Under,1.9,215.5,Oklahoma City Thunder,Minnesota Timberwolves,BetOnline.ag,2022-01-08T01:10:00Z,1.9,216.5,1.9,218.0
166,Over,1.88,215.0,Oklahoma City Thunder,Minnesota Timberwolves,BetRivers,2022-01-08T01:10:00Z,1.88,216.5,1.88,218.0
167,Under,1.93,215.0,Oklahoma City Thunder,Minnesota Timberwolves,BetRivers,2022-01-08T01:10:00Z,1.93,216.5,1.93,218.0
168,Over,1.91,215.5,Oklahoma City Thunder,Minnesota Timberwolves,BetUS,2022-01-08T01:10:00Z,1.91,216.5,1.91,218.0
169,Under,1.91,215.5,Oklahoma City Thunder,Minnesota Timberwolves,BetUS,2022-01-08T01:10:00Z,1.91,216.5,1.91,218.0
170,Over,1.91,215.5,Oklahoma City Thunder,Minnesota Timberwolves,Bovada,2022-01-08T01:10:00Z,1.95,217.0,1.91,218.0
171,Under,1.91,215.5,Oklahoma City Thunder,Minnesota Timberwolves,Bovada,2022-01-08T01:10:00Z,1.87,217.0,1.91,218.0
172,Over,1.91,215.5,Oklahoma City Thunder,Minnesota Timberwolves,DraftKings,2022-01-08T01:10:00Z,1.91,216.5,1.95,218.0
173,Under,1.91,215.5,Oklahoma City Thunder,Minnesota Timberwolves,DraftKings,2022-01-08T01:10:00Z,1.91,216.5,1.87,218.0
174,Over,1.91,215.0,Oklahoma City Thunder,Minnesota Timberwolves,FOX Bet,2022-01-08T01:10:00Z,1.85,216.5,1.91,217.5
175,Under,1.91,215.0,Oklahoma City Thunder,Minnesota Timberwolves,FOX Bet,2022-01-08T01:10:00Z,2.0,216.5,1.91,217.5
176,Over,1.91,216.0,Oklahoma City Thunder,Minnesota Timberwolves,FanDuel,2022-01-08T01:10:00Z,1.89,216.5,1.89,218.0
177,Under,1.91,216.0,Oklahoma City Thunder,Minnesota Timberwolves,FanDuel,2022-01-08T01:10:00Z,1.93,216.5,1.93,218.0
178,Over,1.92,215.5,Oklahoma City Thunder,Minnesota Timberwolves,GTbets,2022-01-08T01:10:00Z,1.92,216.5,1.92,218.0
179,Under,1.92,215.5,Oklahoma City Thunder,Minnesota Timberwolves,GTbets,2022-01-08T01:10:00Z,1.92,216.5,1.92,218.0
180,Over,1.91,215.5,Oklahoma City Thunder,Minnesota Timberwolves,MyBookie.ag,2022-01-08T01:10:00Z,1.91,215.5,1.91,216.5
181,Under,1.91,215.5,Oklahoma City Thunder,Minnesota Timberwolves,MyBookie.ag,2022-01-08T01:10:00Z,1.91,215.5,1.91,216.5
182,Over,1.88,215.0,Oklahoma City Thunder,Minnesota Timberwolves,SugarHouse,2022-01-08T01:10:00Z,1.88,216.5,1.88,218.0
