,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2
146,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,SugarHouse,2022-01-07T23:30:00Z,1.83,152.5,2.0,154.0
147,Under,1.92,153.0,Georgetown Hoyas,Marquette Golden Eagles,SugarHouse,2022-01-07T23:30:00Z,2.0,152.5,1.83,154.0
148,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,TwinSpires,2022-01-07T23:30:00Z,1.91,153.0,1.91,153.0
149,Under,1.92,153.0,Georgetown Hoyas,Marquette Golden Eagles,TwinSpires,2022-01-07T23:30:00Z,1.91,153.0,1.91,153.0
150,Over,1.87,153.0,Georgetown Hoyas,Marquette Golden Eagles,Unibet,2022-01-07T23:30:00Z,1.89,152.5,1.89,152.5
151,Under,1.88,153.0,Georgetown Hoyas,Marquette Golden Eagles,Unibet,2022-01-07T23:30:00Z,1.93,152.5,1.93,152.5
152,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,William Hill (US),2022-01-07T23:30:00Z,1.92,153.0,1.92,153.0
153,Under,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,William Hill (US),2022-01-07T23:30:00Z,1.92,153.0,1.92,153.0
154,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,WynnBET,2022-01-07T23:30:00Z,1.87,153.0,1.87,153.0
155,Under,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,WynnBET,2022-01-07T23:30:00Z,1.95,153.0,1.95,153.0
156,Over,1.92,139.5,Harvard Crimson,Brown Bears,Barstool Sportsbook,2022-01-08T00:00:00Z,1.91,153.0,1.91,153.0
157,Under,1.88,139.5,Harvard Crimson,Brown Bears,Barstool Sportsbook,2022-01-08T00:00:00Z,1.92,153.0,1.92,153.0
158,Over,1.92,139.5,Harvard Crimson,Brown Bears,BetRivers,2022-01-08T00:00:00Z,1.91,153.0,1.91,153.0
159,Under,1.88,139.5,Harvard Crimson,Brown Bears,BetRivers,2022-01-08T00:00:00Z,1.92,153.0,1.92,153.0
160,Over,1.91,139.0,Harvard Crimson,Brown Bears,BetUS,2022-01-08T00:00:00Z,1.87,153.0,1.87,153.0
161,Under,1.91,139.0,Harvard Crimson,Brown Bears,BetUS,2022-01-08T00:00:00Z,1.88,153.0,1.88,153.0
162,Over,1.91,139.0,Harvard Crimson,Brown Bears,Bovada,2022-01-08T00:00:00Z,1.91,153.0,1.91,153.0
163,Under,1.91,139.0,Harvard Crimson,Brown Bears,Bovada,2022-01-08T00:00:00Z,1.91,153.0,1.91,153.0
164,Over,1.83,138.5,Harvard Crimson,Brown Bears,DraftKings,2022-01-08T00:00:00Z,1.87,153.0,1.87,153.0
165,Under,2.0,138.5,Harvard Crimson,Brown Bears,DraftKings,2022-01-08T00:00:00Z,1.95,153.0,1.95,153.0
166,Over,1.91,139.5,Harvard Crimson,Brown Bears,FOX Bet,2022-01-08T00:00:00Z,1.93,139.5,1.93,139.5
167,Under,1.91,139.5,Harvard Crimson,Brown Bears,FOX Bet,2022-01-08T00:00:00Z,1.89,139.5,1.89,139.5
168,Over,1.91,139.5,Harvard Crimson,Brown Bears,FanDuel,2022-01-08T00:00:00Z,1.93,139.5,1.93,139.5
169,Under,1.89,139.5,Harvard Crimson,Brown Bears,FanDuel,2022-01-08T00:00:00Z,1.89,139.5,1.89,139.5
170,Over,1.92,139.0,Harvard Crimson,Brown Bears,GTbets,2022-01-08T00:00:00Z,1.95,139.5,1.91,139.0
171,Under,1.92,139.0,Harvard Crimson,Brown Bears,GTbets,2022-01-08T00:00:00Z,1.87,139.5,1.91,139.0
172,Over,1.91,139.0,Harvard Crimson,Brown Bears,PointsBet (US),2022-01-08T00:00:00Z,1.91,139.5,1.91,139.5
173,Under,1.91,139.0,Harvard Crimson,Brown Bears,PointsBet (US),2022-01-08T00:00:00Z,1.91,139.5,1.91,139.5
174,Over,1.92,139.5,Harvard Crimson,Brown Bears,SugarHouse,2022-01-08T00:00:00Z,1.95,139.5,1.83,138.5
175,Under,1.88,139.5,Harvard Crimson,Brown Bears,SugarHouse,2022-01-08T00:00:00Z,1.87,139.5,2.0,138.5
176,Over,1.92,139.5,Harvard Crimson,Brown Bears,TwinSpires,2022-01-08T00:00:00Z,1.91,139.5,1.91,139.5
177,Under,1.88,139.5,Harvard Crimson,Brown Bears,TwinSpires,2022-01-08T00:00:00Z,1.91,139.5,1.91,139.5
178,Over,1.89,139.5,Harvard Crimson,Brown Bears,Unibet,2022-01-08T00:00:00Z,1.91,139.5,1.91,139.5
179,Under,1.86,139.5,Harvard Crimson,Brown Bears,Unibet,2022-01-08T00:00:00Z,1.89,139.5,1.89,139.5
180,Over,1.91,139.0,Harvard Crimson,Brown Bears,William Hill (US),2022-01-08T00:00:00Z,1.96,139.5,1.92,139.0
181,Under,1.91,139.0,Harvard Crimson,Brown Bears,William Hill (US),2022-01-08T00:00:00Z,1.88,139.5,1.92,139.0
182,Over,1.91,139.0,Harvard Crimson,Brown Bears,WynnBET,2022-01-08T00:00:00Z,1.91,139.0,1.87,139.0
183,Under,1.91,139.0,Harvard Crimson,Brown Bears,WynnBET,2022-01-08T00:00:00Z,1.91,139.0,1.95,139.0
184,Over,1.92,138.5,Holy Cross Crusaders,Lafayette Leopards,Barstool Sportsbook,2022-01-08T00:00:00Z,1.93,139.5,1.93,139.5
185,Under,1.88,138.5,Holy Cross Crusaders,Lafayette Leopards,Barstool Sportsbook,2022-01-08T00:00:00Z,1.89,139.5,1.89,139.5
186,Over,1.91,137.5,Holy Cross Crusaders,Lafayette Leopards,BetMGM,2022-01-08T00:00:00Z,1.93,139.5,1.93,139.5
187,Under,1.91,137.5,Holy Cross Crusaders,Lafayette Leopards,BetMGM,2022-01-08T00:00:00Z,1.89,139.5,1.89,139.5
188,Over,1.92,138.5,Holy Cross Crusaders,Lafayette Leopards,BetRivers,2022-01-08T00:00:00Z,1.89,139.5,1.89,139.5
189,Under,1.88,138.5,Holy Cross Crusaders,Lafayette Leopards,BetRivers,2022-01-08T00:00:00Z,1.86,139.5,1.86,139.5
190,Over,1.91,138.0,Holy Cross Crusaders,Lafayette Leopards,BetUS,2022-01-08T00:00:00Z,1.95,139.5,1.91,139.5
191,Under,1.91,138.0,Holy Cross Crusaders,Lafayette Leopards,BetUS,2022-01-08T00:00:00Z,1.87,139.5,1.91,139.5
192,Over,1.91,138.0,Holy Cross Crusaders,Lafayette Leopards,Bovada,2022-01-08T00:00:00Z,1.91,139.0,1.87,139.0
