,name,price,point,home_team,away_team,bookmakers.title,commence_time
216,Over,1.92,149.5,Colorado St Rams,Utah State Aggies,Barstool Sportsbook,2022-01-13T01:00:00Z
217,Under,1.91,149.5,Colorado St Rams,Utah State Aggies,Barstool Sportsbook,2022-01-13T01:00:00Z
218,Over,1.91,148.5,Colorado St Rams,Utah State Aggies,BetMGM,2022-01-13T01:00:00Z
219,Under,1.91,148.5,Colorado St Rams,Utah State Aggies,BetMGM,2022-01-13T01:00:00Z
220,Over,1.92,149.5,Colorado St Rams,Utah State Aggies,BetRivers,2022-01-13T01:00:00Z
221,Under,1.91,149.5,Colorado St Rams,Utah State Aggies,BetRivers,2022-01-13T01:00:00Z
222,Over,1.91,149.0,Colorado St Rams,Utah State Aggies,BetUS,2022-01-13T01:00:00Z
223,Under,1.91,149.0,Colorado St Rams,Utah State Aggies,BetUS,2022-01-13T01:00:00Z
224,Over,1.91,148.5,Colorado St Rams,Utah State Aggies,DraftKings,2022-01-13T01:00:00Z
225,Under,1.91,148.5,Colorado St Rams,Utah State Aggies,DraftKings,2022-01-13T01:00:00Z
226,Over,1.91,149.5,Colorado St Rams,Utah State Aggies,FanDuel,2022-01-13T01:00:00Z
227,Under,1.91,149.5,Colorado St Rams,Utah State Aggies,FanDuel,2022-01-13T01:00:00Z
228,Over,1.92,149.0,Colorado St Rams,Utah State Aggies,GTbets,2022-01-13T01:00:00Z
229,Under,1.92,149.0,Colorado St Rams,Utah State Aggies,GTbets,2022-01-13T01:00:00Z
230,Over,1.91,149.0,Colorado St Rams,Utah State Aggies,PointsBet (US),2022-01-13T01:00:00Z
231,Under,1.91,149.0,Colorado St Rams,Utah State Aggies,PointsBet (US),2022-01-13T01:00:00Z
232,Over,1.92,149.5,Colorado St Rams,Utah State Aggies,SugarHouse,2022-01-13T01:00:00Z
233,Under,1.91,149.5,Colorado St Rams,Utah State Aggies,SugarHouse,2022-01-13T01:00:00Z
234,Over,1.92,149.5,Colorado St Rams,Utah State Aggies,TwinSpires,2022-01-13T01:00:00Z
235,Under,1.91,149.5,Colorado St Rams,Utah State Aggies,TwinSpires,2022-01-13T01:00:00Z
236,Over,1.87,149.5,Colorado St Rams,Utah State Aggies,Unibet,2022-01-13T01:00:00Z
237,Under,1.87,149.5,Colorado St Rams,Utah State Aggies,Unibet,2022-01-13T01:00:00Z
